緯度情報,経度情報,愛工大からの距離,データ名
35.1936039757,136.9256319582,144.0105937358,石原家住宅
35.1807513256,136.9143275083,144.0117043549,カトリック主税町教会
35.3270781919,137.0614467554,144.0122089715,内々神社庭園
35.1067746737,136.8418030019,144.0128708619,愛知県立惟信高等学校正門門柱（旧愛知県惟信学校正門）
35.0497433936,136.7845916748,144.0129041881,弥富野鳥園
35.3258791743,137.0613053194,144.0129563692,内々神社社殿
35.0497521768,136.7847740650,144.0130266398,弥富野鳥園
35.1830188238,136.9185865861,144.0131081245,金城学院高等学校榮光館
35.1723153214,136.9083542561,144.0134562174,名古屋テレビ塔
35.1802156660,136.9187488168,144.0152067685,旧川上貞奴邸
35.1683021593,136.9075436050,144.0157243876,オリエンタルビル屋上観覧車
35.1816499069,136.9236633686,144.0176634358,名古屋陶磁器会館
35.1861447067,136.9321263869,144.0204610815,日本福音ルーテル復活教会
35.1745015000,136.9219320530,144.0214999254,日本陶磁器センター
35.1526273544,136.9006063742,144.0219209877,崇覚寺本堂
35.1793858432,136.9274689794,144.0219543230,建中寺徳川家霊廟
35.1842077101,136.9323239399,144.0219715167,徳川園・蓬左文庫旧書庫・蘇山荘
35.2198618515,136.9680711368,144.0220015667,小野道風誕生伝説地
35.1969400542,136.9452453290,144.0220903098,長母寺
35.1794591061,136.9280506735,144.0223134077,建中寺徳興殿（旧名古屋商業会議所本館）
35.1800388090,136.9294653333,144.0229025098,東海学園大講堂
35.1837461172,136.9331886038,144.0229090701,徳川美術館
35.1835445123,136.9336385128,144.0233696051,徳川美術館本館
